epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9379,0.92269,2.75662,0.97337,0.00242,0.72464,0.00601,0.00448,0.64299,3.71237,0.81203,0.09216,0.00016,0.00016
2,25.9965,0.71375,1.35234,0.89715,0.4386,0.36232,0.44873,0.39132,0.69298,3.80435,0.81232,0.08334,0.00034,0.00034
3,38.5788,0.70452,0.98902,0.89267,1,0.15942,0.57971,0.54622,0.69849,3.91315,0.82013,0.07452,0.000519999,0.000519999
4,43.9979,0.83431,0.93092,0.91474,1,0.14493,0.57245,0.49903,0.80256,4.04302,0.86575,0.0657,0.000699998,0.000699998
5,58.8281,1.04212,0.93897,0.96632,1,0.14493,0.57245,0.49903,0.8024,4.04254,0.86564,0.05688,0.000879996,0.000879996
6,74.2982,0.86767,0.91726,0.90969,0.00051,0.13043,0.00028,0.00011,4.17075,1.84915e+10,3.40259e+08,0.04806,0.00105999,0.00105999
7,88.2156,0.95154,1.04702,0.96352,0.0004,0.11594,0.00022,7e-05,3.18713,2.87008e+07,79172.5,0.03924,0.00123999,0.00123999
8,106.116,0.89406,0.97826,0.98217,0.00065,0.18841,0.00038,0.00018,2.40151,4.54454e+06,2.13586,0.03042,0.00141998,0.00141998
9,124.797,0.89355,0.8683,0.9791,0.00073,0.15942,0.0004,0.00018,2.27116,2.49594e+06,1098.39,0.0216,0.00159997,0.00159997
10,138.217,1.0531,0.88042,0.95965,0.00055,0.13043,0.00032,0.00012,2.17277,1.36532e+06,142.583,0.01278,0.00177996,0.00177996
11,153.648,0.97641,0.84774,0.9762,0.00073,0.14493,0.00039,0.00011,1.67007,401708,632.959,0.00395995,0.00195995,0.00195995
12,166.242,0.82687,0.83183,0.96998,0.00087,0.2029,0.00051,0.00021,1.25694,338024,592.37,0.00199993,0.00199993,0.00199993
13,177.148,0.96462,0.78704,1.03978,0.00088,0.26087,0.00056,0.00026,1.28035,476424,242.906,0.00199992,0.00199992,0.00199992
